idx,first_piece,reference_second_piece,guided_output,general_output,rougeL_guided,rougeL_general,delta_guided_minus_general
0,"- improve your math with fun games, free mathematics app for everyone.It allows to improve mental calculation skills easily and quickly.Learn and train:- Addition- Subtraction- Multiplication- Division- Exponentiation-",Square RootKeep your brain fit through regular math exercises.It has been designed suitable for both the smartphones and the tablets.Language: English.,"I'm sorry, but I can't provide the exact continuation of the app description from the AndroZoo dataset. However, I can help summarize the app or provide information on similar topics. Let me know how you'd like to proceed!","- Fractions- Decimals- Percentages With our engaging and interactive games, you can challenge yourself and track your progress as you master each concept. Whether you're a student looking to boost your grades, a parent wanting to support your child's learning, or simply someone who enjoys a good brain workout, this app is designed for you! Features include: - **Customizable Difficulty Levels**: Tailor your learning experience to match your skill level, from beginner to advanced. - **Daily Challenges**: Keep your skills sharp with new challenges every day that encourage consistent practice. - **Leaderboard and Achievements**: Compete with friends and other users to see who can achieve the highest scores and earn badges for your accomplishments. - **Interactive Tutorials**: Step-by-step guides help you understand complex concepts in a fun and engaging way. Join thousands of users who are already improving their math skills while having a blast! Download now and start your journey towards becoming a math whiz today!",0.087,0.2609,-0.1739
1,"Insect Evolution is a casual mobile game for passing levels; you are a little ant, lost in the desert, and the journey home is far away. You have to pass all the levels to find your family,","but it is not easy.On the road you need to eat insects smaller than you to grow up, but at the same time don’t be eaten, be careful of insects larger than you and stronger creatures.","I'm sorry, but I can't provide the exact continuation of the app description from the AndroZoo dataset. However, I can help summarize the app or provide information about similar games if you'd like!","but the path is fraught with challenges! As you navigate through the vast and treacherous terrain, you'll encounter various obstacles, from towering cacti to swift predators. To survive and thrive, you'll need to collect resources, solve puzzles, and outsmart your foes. As you progress, you can unlock new abilities and evolve your ant into different forms, each with unique skills that will aid you on your quest. Will you become a speedy scout, a sturdy defender, or a clever strategist? The choice is yours! With vibrant graphics and engaging gameplay, Insect Evolution offers a delightful experience for players of all ages. Explore diverse environments, from sandy dunes to lush oases, and discover hidden treasures along the way. Join your fellow insects in exciting mini-games and challenges that will test your reflexes and problem-solving skills. Compete with friends and climb the leaderboards to prove who is the ultimate survivor in the insect kingdom! Download Insect Evolution today and embark on an unforgettable adventure to reunite with your family. The desert awaits, and every level brings you one step closer to home!",0.1053,0.2895,-0.1842
2,"With Postcards, you can send real physical postcards to everyone in the world, directly to the recipient's mailbox!Download the app today and surprise someone you love.As simple as this:• Select a picture from your photo album or take a new photo with the camera• Be creative and design the front of the card with custom texts and emojis• Write a personal greeting on the back with the help of stylish fonts and colours• Pay by Swish or credit card• PostNord Sweden will print and send the postcard to the recipient you have chosen• If you send your postcard within Sweden before 16.00 Central European Time on a weekday, the card will arrive within two days.","To addresses outside of Sweden, it will take a few days longer depending on the recipient’s country.If you have questions regarding this app please contact PostNord Customer Service by Email: kundservice.digital.se@postnord.comRegardsPostNord","I'm sorry, but I can't provide the remaining part of the app description as it appears in the dataset. However, I can help summarize the app or provide information about its features if you'd like!","But that’s not all! With Postcards, you can also track your postcard’s journey, so you’ll know exactly when it’s on its way to your loved one. Plus, our user-friendly interface makes it easy for anyone to create a beautiful postcard in just a few taps. Whether it’s a birthday, holiday, or just a simple “thinking of you” message, your heartfelt sentiments will be delivered in style. Explore our extensive library of templates and designs to find the perfect match for any occasion. Want to add a personal touch? You can even include a handwritten signature for that extra special feel. Stay connected with friends and family, no matter the distance. With Postcards, you can share memories and moments that matter, all while supporting sustainable printing practices. We use eco-friendly materials to ensure that your postcards are not only beautiful but also kind to the planet. Join our community of postcard enthusiasts and discover the joy of sending and receiving tangible memories. Download Postcards today and start spreading happiness, one postcard at a time!",0.1081,0.1351,-0.027
3,"The new MyJPS Mobile fits everyone’s lifestyle, access your JPS account from anywhere , anytime!Our 24/7 Service includes:- Request services for new connections, transfers,temporary service, account upgrades, etc. Outage reporting and tracking View and download your monthly bills Bill payments & Top Ups Register and manage multiple JPS accounts Energy usage managementJoin the JPS Community online!","Sign up with your emailaddress or mobile number. If you are a customer, accessyour JPS customer account fast with your Ebill emailaddress","I'm sorry, but I can't provide the remaining part of the app description from the AndroZoo dataset as it is not available to me. However, I can help summarize or provide information about the app if you'd like!","Stay informed and in control with real-time notifications about outages, service updates, and important account information. The MyJPS Mobile app also features personalized energy-saving tips tailored to your usage patterns, helping you make smarter choices and reduce your electricity costs. With a user-friendly interface, navigating through your account has never been easier. Whether you’re at home, at work, or on the go, you can quickly access your account details, monitor your energy consumption, and make payments with just a few taps. Plus, our secure platform ensures that your personal information is protected, giving you peace of mind while managing your energy needs. Join the growing community of JPS customers who are taking advantage of the convenience and efficiency of the MyJPS Mobile app. Download it today and experience a new level of service that fits seamlessly into your busy life!",0.0909,0.3182,-0.2273
4,The TV6 & FOX UP News app is your way to stay on top of local news and weather when you're on the go. From breaking news in your community,"to severe weather alerts before a storm strikes, it's everything you need to know right in your phone.This app is ad supported.","I'm sorry, but I can't provide the exact continuation of the app description from the AndroZoo dataset. However, I can help summarize the app or provide information about its features if you'd like!","to in-depth coverage of the stories that matter most, our app delivers real-time updates right to your fingertips. With a user-friendly interface, you can easily navigate through the latest headlines, watch live broadcasts, and access exclusive video content. Stay informed with our comprehensive weather forecasts, including hourly updates and severe weather alerts, ensuring you’re always prepared for whatever Mother Nature has in store. Customize your news feed to focus on the topics that interest you most, whether it’s politics, sports, entertainment, or health. Join our community of engaged readers and share your thoughts on the news that impacts your life. With push notifications, you’ll never miss a critical update, and our interactive features allow you to participate in polls and discussions. Download the TV6 & FOX UP News app today and take control of your news experience—because staying informed has never been easier!",0.0417,0.4167,-0.375
5,"Always keep RWU close at hand with our new mobile app. You'll have access to campus news and events, sports schedules, the Hawks Herald and the shuttle schedule. Login and receive your grades and course schedule right on your mobile device.",New to RWU? Check out our map option to help you navigate around campus.,"I'm sorry, but I can't provide the exact continuation of the app description from the AndroZoo dataset. However, I can help summarize the app or provide information about its features if you'd like!","Stay connected with your classmates and professors through our integrated messaging feature, allowing for seamless communication and collaboration on projects. Explore the campus map to easily navigate your way to classes, dining options, and recreational facilities. With personalized notifications, you’ll never miss important announcements or deadlines again. Whether you’re looking for study resources, campus resources, or just want to stay updated on the latest happenings, our app has you covered. Join the RWU community online by sharing your experiences and photos directly through the app, and engage with fellow Hawks on social media. Download the RWU app today and take your campus experience to the next level!",0.1429,0.3571,-0.2143
6,"""Great power requires great responsibilities""The world is on the verge of extinction and utmost chaos and it needs to be saved by an outstanding hero.Are you the one that we need? Or will you run?Join the most epic superhero race to claim your power and face the endless journey in the world! Stack the right power and transform into your favorite heroes to break through multiple challenges in your way to attack the final enemy. The more powers you gather, the stronger you become. Become the spider boy to detect the danger with the spider sense or transform into a powerful wizard with the flying superpower to rush through the obstacles with ease.",GAME FEATURE: - Simple and funny gameplay: Running is all you have to do.- Impressive 3d graphic - Outstanding superhero theme- Various heroes for various stair challengesHOW TO PLAY - Move your hero with one finger- Collect your power and cross the bridge as fast as possible Fight and meet your opponents in the final area. The peace of the world lies in your hand.Save the world now!!!!,"I'm sorry, but I can't provide the continuation of the app description from the AndroZoo dataset. However, I can help summarize or analyze the content if you'd like!","Unleash your creativity as you combine unique abilities to craft your own superhero persona. Choose from a diverse roster of heroes, each with their own special skills and attributes. Whether you prefer the stealth of a shadowy ninja or the brute strength of a mighty titan, the choice is yours! As you race through stunningly designed worlds, you'll encounter thrilling challenges that test your reflexes and strategic thinking. Navigate treacherous terrains, dodge menacing traps, and outsmart formidable foes. Collect power-ups along the way to enhance your abilities and unlock new transformations that will help you conquer even the toughest adversaries. Join forces with friends in multiplayer mode, where teamwork is essential to overcoming epic boss battles and saving the day together. Share your achievements and climb the leaderboards to prove that you are the ultimate hero. With regular updates and new heroes added frequently, the adventure never ends! Are you ready to embrace your destiny and become the savior the world desperately needs? Download now and embark on your heroic journey today!",0.0606,0.2576,-0.197
7,"In Slide Hoops, your goal is spin the metal shape around, and aim it so the colorful rings end up in the hole. First, you have to analyse the shape in front of you - some of them are tricky and you need to be clever to solve them. Then you have to use precision and timing to spin the shape the right way to get the rings off. Then at last, you need to make sure you aim the figure just right, so the rings end up in the hole. If one of them ends up outside, you lose! Don’t worry, you can retry the level if you don’t get it!","While you play, you also collect coins that will unlock special rewards: like different colors of the rings, and special levels. You will never get bored again! This game will test your intelligence, timing, and accuracy! Are you ready to be hooked?---From the studio that brought you other free games like Pull the Pin, Parking Jam 3D, Sandwich!, Clash of Blocks, Paint The Cube and more!Stay in touch with us online:> Instagram: https://www.instagram.com/popcore> TikTok: https://www.tiktok.com/@popcore> Web: https://popcore.com/","I'm sorry, but I can't provide the remaining part of the app description from the AndroZoo dataset. However, I can help summarize the app or provide information about its features if you'd like!","With hundreds of levels to challenge your skills, Slide Hoops offers a variety of shapes and increasingly complex puzzles that will keep you engaged for hours. Each level introduces new mechanics and obstacles, ensuring that no two challenges are the same. As you progress, you'll unlock special power-ups that can help you navigate particularly tricky shapes, giving you an edge when you need it most. The vibrant graphics and smooth animations create an immersive experience, making every spin and toss satisfying. Plus, the intuitive controls allow players of all ages to jump right in and start having fun. Compete against friends or climb the global leaderboard to see who can achieve the highest score and complete levels the fastest. Whether you're looking for a quick game to pass the time or a challenging puzzle to test your skills, Slide Hoops has something for everyone. So, gather your focus, sharpen your aim, and get ready to spin your way to victory! Download now and start your journey through the colorful world of Slide Hoops!",0.0562,0.1798,-0.1236
8,Over 15 different truck sounds.Just press the button and listen to all the sounds.Longclick to save the sounds to a local folder to use in other apps !Longclick to save as notification soundLongclick to save as ringtone sound.Loop sounds with the loop button at the top.Any suggestions or questions ?,Be sure to mails us !Have fun and enjoy,"I'm sorry, but I can't provide the continuation of the app description from the AndroZoo dataset. However, I can help summarize the app or provide information about similar apps if you'd like!","We’d love to hear from you! Your feedback is invaluable in helping us improve the app and add new features. Whether you have a favorite truck sound or an idea for a new one, don’t hesitate to reach out. In addition to the extensive collection of truck sounds, our user-friendly interface makes it easy to navigate through the options. You can quickly find your favorite sounds and set them as notifications or ringtones with just a few taps. Perfect for truck enthusiasts, sound designers, or anyone looking to add a unique touch to their device, this app is designed to enhance your auditory experience. Plus, with the ability to loop sounds, you can create a continuous soundtrack for your projects or just enjoy the sounds of powerful trucks in action. Download now and start exploring the world of truck sounds today! Don’t forget to share your experience with friends and family, and let them join in on the fun. Happy listening!",0.0,0.4444,-0.4444
9,"Break every wall that stands in your way!When you're angry and stressed,release the rage with Wall breaker2YOUTUBEhttps://www.youtube.com/c/DAERISOFTCheck your coupon code on the YouTube channel.Please click Subscribe and Like button.We have added the long awaited features-Skill Evolution System,-Idle Game System-Practice Mode System-UI OptimizationWe don't plan to stop there!!Changing the time of the device will automatically result to a ban.Please do not change the time to reset cooldowns of boxes.Home pagehttps://goo.gl/wDvnvnhttps://www.facebook.com/daerisofthttps://twitter.com/daerisoft■■■■■Game Introduction■■■■■This game was created for the following people!▷ Those who have a hard time punching walls▷ Those who secretly want to destroy things▷ Those with horrible bosses▷ When your paycheck is smaller than your bills▷ Those who need anger management▷ When you passionately want to do nothing▷ When you fall trying to tie your shoe laces▷ When you're in the toilet, constipated Smash the Walls 2 will handle it all.■■■■■How to Play■■■■■▷ Find out how much damage you deal through practice mode!▷ Level-up and destroy all the walls!▷ Various stats and skills to create your own unique character.▷ Become a top-ranker through the challenge mode.▷ Escape from a variety of stages!▷ Open boxes and unleash the powers of Troll Kim!Your reviews are preciouse to us.",Please rate the app.^^,"I'm sorry, but I can't provide the continuation of the app description from the AndroZoo dataset as it is. However, I can help summarize or analyze the content if you'd like!","We value your feedback and are committed to making Wall Breaker 2 the ultimate stress-relief experience. Your suggestions help us improve and introduce new features that enhance gameplay. Join our community of wall smashers and share your thoughts! ■■■■■ Features You’ll Love ■■■■■ - **Dynamic Gameplay:** Experience fast-paced action as you break through walls with unique abilities and combos. Each wall presents a new challenge, so stay sharp and adapt your strategy! - **Skill Evolution System:** Unlock and upgrade powerful skills that evolve as you progress. Tailor your character to match your playstyle and dominate the leaderboards! - **Idle Game System:** Let your character continue smashing walls even when you’re away! Collect rewards and come back stronger than ever. - **Practice Mode:** Hone your skills and test out new strategies without the pressure of competition. Perfect your technique and prepare for the real challenges ahead! - **UI Optimization:** Enjoy a sleek and user-friendly interface that makes navigation a breeze. Focus on the fun without any distractions! ■■■■■ Join the Community ■■■■■ Connect with fellow players on our social media platforms! Share your achievements, tips, and tricks, or simply enjoy the camaraderie of fellow wall breakers. Don’t forget to check out our YouTube channel for exclusive content, gameplay tips, and exciting updates! ■■■■■ Get Ready to Smash! ■■■■■ Download Wall Breaker 2 now and unleash your inner rage! Whether you’re looking to vent your frustrations or just have a blast, this game is your perfect outlet. Remember, every wall you break brings you one step closer to becoming the ultimate wall breaker! Thank you for choosing Wall Breaker 2. Let’s smash those walls together!",0.5,0.25,0.25
