index,prediction
0,"Phillips auction house brings a fresh contemporary focus to the defining aesthetic movements of the last two centuries, with a specialized knowledge in what's happening right now. Our international sales are the building blocks of a great collection, for both savvy collectors and auction-curious newcomers alike. Now, participating in our auctions is easier than ever"
1,"Take5 Slots is a free-to-play social casino game. 

Short Description: Play free slots and win big jackpots!"
2,"**App Description HTML:**
<p>By changing the region setting, your e-scooter gets new features, such as a flashing brake light. </p>

Short Description: **Unlock new features with region-specific settings.**"
3,"The Las Vegas Review-Journal app gives you breaking news updates on what's happening in Southern Nevada, the nation and around the world.

**Short Description:** Las Vegas Review-Journal app for breaking news, sports, and more."
4,"Imou Life App is a comprehensive app for managing your smart home devices, including cameras, doorbells, sensors, and more. 

Short Description: Manage your smart home with Imou Life."
5,"Value Added Tax (VAT) calculator This calculator is easy and comfortable. You to adjust the VAT rate can be calculated.

Short Description: **Calculate VAT with ease.**

Value Added Tax (VAT) calculator This calculator is easy and comfortable. You to adjust the VAT rate can be calculated.

Short Description: **"
6,"Poqe video chat app is a private live video chat app that allows you to connect with millions of new people around the world. 

Short Description: Connect with new people through private live video chats."
7,"**App Description:**
<p>Send money to over 90 destinations with the best rates and prices on the market</p>

Short Description: Send money worldwide with the best rates."
8,"This app provides free Minecraft skins, addons, and maps for Hello Neighbor. It's a fan-made app for Minecraft players.


Short Description: Free Minecraft skins, addons, and maps for Hello Neighbor."
9,"Elite Trainr is a personal training management platform connecting athletes with their trainers. The Elite Trainr - Athletes application gives athletes real time access to workout programs, meal plans, supplement protocols, and cardio programs. Additional features include tracking progress, improving workouts, and communicating with trainers. 

Short Description: Elite Trainr helps"
10,"FNAF Security Breach Mods for Minecraft Pocket EditionThis application will allow in just a few clicks to open the world of so-called animatronics, which are based on the characters of the popular game. You will have the opportunity to install fnaf security breach mods in minecraft, fnaf maps, animatronics skins"
11,Short Description: **Stay connected with the San Diego Wave FC!**
12,"This is the Volvo Group's event app. 

Short Description: This is the Volvo Group's event app."
13,"Ascend healthcare solutions platform by Blue Summit Software is a complete EVV, billing and payroll solution for Home Healthcare providers. 

Short Description: Ascend EVV for Home Healthcare providers. 

Ascend healthcare solutions platform by Blue Summit Software is a complete EVV, billing and payroll solution for Home Healthcare providers."
14,Happy Birthday Photo frames features are:This app is free and easy use.You can use this app in off line and online modes.This app contains HD photo frames and each frame is unique and it contains different types of photo frames.This Happy Birthday photo frames app is best photo editor.User can select image from mobile
15,This is an action game with dozens of weapons to experience!
16,"The mobile phone connects the vehicle through the USB line, using the mirror method, the mobile phone's screen will be show on the vehicle. Then mobile phone can be operated by touch vehice's screen. When driving on the road, autolink is both convenient and safe for operate your mobile phone. At the"
17,"Training by Airbus App provides trainees and instructors in Airbus training centers up-to-date training schedule and practical information.Airbus Customers Services believes that this application dedicated to the improvement of our communication and enhances the quality of our training services.Airbus provides training services to ensure safe, reliable and economic operations of all Airbus aircraft"
18,"Tax Calculator: <your summary>

Short Description: Stay on top of your taxes with this easy-to-use app.

Tax Calculator: This app helps you manage your monthly tax obligations and save money. It's a must-have tool for individuals and small businesses."
19,Short Description: **Relax with the soothing sound of a paper shredder.**
20,"**App Description HTML:**
compare Popular DNS servers by displaying the DNS query speed, so you can find out which DNS server is the fastest for your network or smartphone.why should you change your DNS server? • faster loading times of webpages • Adblock (E.g AdGuard) • privacy (E."
21,"**App Description HTML:**
Download and Play this awesome typing game.Improve your typing speed and do typing practice.How to Play Typing Game:It’s simple.Type, Shoot and Kill Zombies.Use Special Powers of Missiles and Time Slower.** Typing Game is perfect for typing practice and improving typing speed."
22,"Aloha Living brings the most accurate and up-to-date real estate information right to your phone! Powered by Hawaii Information Service, you have access to all homes for sale and MLS listings on Kauai and Hawaii Island area.Use Aloha Living anytime, anywhere to pull up homes for sale around you using the GPS search, or"
23,"PlaneMapper is a real-time plane and flight tracker providing up to date status of your flight, airport schedules, aircraft and airline database, industry related articles and news.

Short Description: PlaneMapper keeps you informed about your flights and the world of aviation."
24,Short Description: **Create your weekly grocery list in minutes!**
25,"Enablon Inspection solution is designed to securely answer checklists generated by the Enablon Sustainability Suite. 

Short Description:  Enablon Inspection for mobile access to your inspection data."
26,"The Morning Context is a media and research company that tells the most ambitious, timely, deeply researched, and well-written stories. Paid for primarily by the readers. We publish more than 200 stories every year, that cover subjects ranging from startups, technology, and e-commerce, to fintech, retail,"
27,"Genii Games is a fun app for learning African languages. It is targeted at children (6+ years) and adult learners. Learn how to converse in Kiswahili, Twi, Yoruba, Igbo, Wolof and Ewe languages which are spoken across Ghana, Nigeria, Senegal, Togo, Kenya, Tanzania"
28,"REAL Shuffle Player is a simple and efficient audio player with unique features such as a real and intelligent shuffle mode. 

Short Description: REAL Shuffle Player is a simple and efficient audio player with unique features like a real and intelligent shuffle mode."
29,"Crossbar helps keep your life organized when it comes to youth sports.Download the Crossbar mobile application for quicker access to your Crossbar-powered family calendar, teams and team chat.Family Calendar - All your teams games, practices and events into one view.Team Staff - Easily access information to communicate with your coaches and"
30,Brain Buzzer - Matches Puzzles is a brain-teasing puzzle game that challenges your problem-solving skills.
