index,prediction
0,"**App Description HTML:**
-  improve your math with fun games, free mathematics app for everyone.It allows to improve mental calculation skills easily and quickly.Learn and train:- Addition- Subtraction- Multiplication- Division- Exponentiation- Square RootKeep your brain fit through regular math exercises.It has been designed suitable"
1,"Insect Evolution is a casual mobile game for passing levels; you are a little ant, lost in the desert, and the journey home is far away. You have to pass all the levels to find your family, but it is not easy.On the road you need to eat insects smaller than you to grow up, but"
2,"Postcard app lets you send real postcards to anyone in the world. 
Short Description: Send real postcards to loved ones."
3,"MyJPS Mobile is a convenient app for managing your JPS account. 

Short Description: Manage your JPS account on the go."
4,"TV6 & FOX UP News app: Stay informed on the go with local news and weather. 

Short Description: Get local news and weather alerts on the go."
5,"RWU mobile app: Stay connected to campus life with news, events, and more.

Short Description: RWU mobile app for campus life."
6,"""The world is on the verge of extinction and utmost chaos and it needs to be saved by an outstanding hero.Are you the one that we need? Or will you run?Join the most epic superhero race to claim your power and face the endless journey in the world! Stack the right power and transform into your favorite"
7,"Slide Hoops is a challenging and addictive game where you spin metal shapes to get colorful rings into holes. 

Short Description: Spin metal shapes to get colorful rings into holes in this challenging game."
8,"Over 15 truck sounds to choose from. 

Short Description: Hear all the truck sounds you can imagine."
9,"Wall Breaker 2 is a game where you smash walls to release your anger. 

Short Description: Smash walls to release your anger in this addictive game."
10,"Let’s Smile is a fun and engaging seven-level English course for young EFL students. 

Short Description: Let’s Smile is a fun and engaging English course for young EFL students."
11,"Your new AA credit card app is now available. With the app, you’ll be able to stay on top of your spending, search and tag transactions, and choose how you make payments. You can be reassured that your money is safe, with security features built-in as standard. 

Short Description: Manage"
12,"Offroad driving to the max! Climb steep, rocky mountains, traverse muddy swamps, drive up a hill and more! Complete multiple levels of increasingly difficult challenges and get to the finish line! Features:- 10 unique offroad cars to drive- 25 exciting levels to complete- Multiple settings to discoverDrive buggies"
13,"Twice Lyrics App: Sing along to your favorite Twice songs with lyrics and albums! 

Short Description: Sing along to your favorite Twice songs with lyrics and albums!"
14,"Absolute Pets App: Shop premium pet care products from the world's best brands.

Short Description: Shop premium pet care products from the world's best brands."
15,"VEX via allows you to follow the progress and results of VEX Robotics Competition, VEX U, and VEX IQ Challenge events. Team lists, match schedules, match results, rankings, and skills challenge results are easy to access and can be sorted by event or by team. Result updates can be downloaded as the"
16,"Emoji Wallpaper is the free application that contains the most beautiful emoji, sticker images and the best cute for your beloved phone. This app can work in offline mode, that is, you can change the emoji, sticker images on the splash screen of your device without an Internet connection. You will find here a lot of wallpapers,"
17,"This is an unofficial companion app for the Elite : Dangerous game.

Short Description: This app is an unofficial companion for Elite: Dangerous."
18,"Spaceship Wargame 4 is a spaceship war game offline that is specially designed for players who are passionate about shooting spaceships and space wars game. 

Short Description:  Spaceship war game offline with shooting spaceships and epic quests."
19,"FC Red Bull Salzburg app offers exclusive content for fans and stadium visitors. 

Short Description: Exclusive content for fans and stadium visitors."
20,"Story Cutter for Instagram is an awesome tool that allows you to record or select videos of any length and convert them into 10 second segments that can then be uploaded to Instagram, Snapchat, WhatsApp, Twitter or Facebook stories.With this tool you will no longer have to worry about tediously recording and uploading over and over"
21,"XL Flor is a reliable partner for wholesale companies in flowers, plants and hardware. Get direct access to a wide and deep selection and order fast and fresh in large quantities. With the XL Flor app for phone as well as tablet, you always have direct access to a wide selection of daily fresh products. You can also view"
22,"Theme for Oppo A5 2020 is not just a regular mobile home screen decoration.  It contains many beautiful themes and HD wallpapers and a launcher. This theme is specially designed for Oppo A5 2020, Oppo A9 2020, Infinix note 7, Infin"
23,"RV Parky is the easiest way to plan your RV Trip.  Built by a full timer to help RVers on the road.  The most complete collection of RV parks, camp grounds, rest areas, gas stations, and stores updated daily.  Get information, view pictures, get directions to where you are headed"
24,"Basics of Sign Language from Paradox Inc is a pocket library equipped with all the pre-requisites of sign language. This app encloses ISL(Indian Sign Language), ASL(American SL) and BSL(British SL) in an user-friendly interface that engages you with every sign. Inclusion of all 3 languages"
25,"LittleLives Check-in App:  A fun and easy way to track student arrival and departure times. 

Short Description:  LittleLives Check-in App makes tracking student arrival and departure times easy and fun."
