index,prediction
0,"Multiplication, Exponentiation, Subtraction, Square Root - all in one app."
1,"In Insect Evolution you need to eat insects smaller than you to grow up, but at the same time don’t be eaten by larger and stronger creatures."
2,"PostNord Sweden has launched a new app called Postcards, which allows you to send postcards directly from your smartphone or tablet."
3,JPS has launched a new online and mobile service for its customers.
4,The TV6 & FOX UP News app is your way to keep up with local news and weather when you're on the go.
5,Find out what's going on on your campus with our new mobile app.
6,"Super Hero Run is an endless runner game where you have to save the world by running, jumping and collecting power-ups."
7,"Slide Hoops is a new game from the makers of Pull the Pin, Parking Jam, Clash of Blocks and more!"
8,"This is a collection of truck sounds that you can use as a notification sound, a ringtone or as a background music."
9,The rage is back in Smash the Walls 2!
10,Let’s Smile is a seven-level primary English course for young EFL students.
11,"If you’re looking for a new way to manage your money, then you’ve come to the right place."
12,"Offroad Racing is an offroad racing game where you control 10 unique offroad cars to drive in 25 exciting levels in the desert, taiga, jungle and more!"
13,Twice Lyrics is an app that allows you to sing along to the lyrics of Twice songs.
14,Absolute Pets is South Africa's leading online pet retailer.
15,BBC Sport brings you all the latest team and individual results from this year's UK robotics championships.
16,"Emoji Wallpaper for Android is one of the best application that contains the most beautiful emoji, sticker images and the best cute for your beloved phone."
17,"Elite Dangerous is an open-source, free-to-use, community-focused first-person shooter video game."
18,Spaceship Wargame 4 is one of the best spaceship war games offline on Google Play.
19,The FC Red Bull Salzburg app offers exclusive content for fans and stadium visitors.
20,"Story Cutter for Instagram is an awesome tool that allows you to record or select videos of any length and convert them into 10 second segments that can then be uploaded to Instagram, Snapchat, WhatsApp, Twitter or Facebook stories."
21,The XL Flor app for phone as well as tablet offers everything you need for quick and easy stock management.
22,Theme for Oppo A5 2020 is new bautiful and eye catch theme for your mobile and totally free for users....
23,"The most complete collection of RV parks, camp grounds, rest areas, gas stations, and stores updated daily."
24,"If you want to learn sign language but don't have the time or inclination to spend hours on end, then this app is for you."
25,Check-in app from LittleLives makes coming to school fun for students!
26,This calculator will help you to calculate the value added tax (VAT) on your goods and services.
27,"2048 is one of the most popular board games in the world, and now you can play it online too!"
28,Maple Board Game Cafe has launched a new feature called Maple board game stats.
29,This program is not intended for use by children under the age of 12.
30,The classic mobile phone game Snake is back!
31,"The ForChildren app connects you to all the free resources, lessons, and discussions on the forChildren.com websites."
32,Empower is a digital space that encapsulates the complete working and processes of an organisation including SOPs
33,"ITC Box 2 by Spain Paranormal.Three ghost boxes in one, all based on reversed speech."
34,Epicor Proof of Delivery is a next generation delivery management application that helps to improve the accuracy and efficiency of deliveries.
35,This app allows you to quickly access the apps you use frequently via a single window.
36,How much do you know about Jamaica?
37,Choithrams is one of the leading online grocery stores in Dubai.
38,Shree Tal Barahi Mabi is a free app for parents to keep track of their children's school and college life.
39,Am and mаth thо оu wth groups of 3r mоr of the аm tоt burst.
40,"Schools can use this mobile app for internal processes such as staff clock in/out, leave application, payslip distribution, request processing, etc."
41,The National Bank of Hong Kong (NCB) has launched a new mobile application to help you buy a home in Hong Kong.
42,"SpinDeals is a mobile app that operates in Athens and Cyprus and it provides unique offers at cafes, restaurants, shops and services."
43,"This is a new video chat application messenger like other, and also you can enjoy."
44,"A tutoring and homework management app for students, parents and tutors."
