idx,first_piece,reference_second_piece,guided_output,general_output,rougeL_guided,rougeL_general,delta_guided_minus_general
0,"Phillips auction house brings a fresh contemporary focus to the defining aesthetic movements of the last two centuries, with a specialized knowledge in what's happening right now. Our international sales are the building blocks of a great collection, for both savvy collectors and auction-curious newcomers alike. Now, participating in our auctions is easier than ever.","The Phillips app allows you to browse upcoming sales, track your favorite lots and place bids in our live auctions from anywhere on your Android device. Welcome to the first truly mobile auction saleroom.",[LLM_ERROR] 'OpenAIClient' object has no attribute 'complete',[LLM_ERROR] 'OpenAIClient' object has no attribute 'complete',0.0,0.0,0.0
1,"Play Free, Become a Superstar! Enjoy a whole new casino experience like no other! A variety of fun to play slot games and plenty of free gifts await you!Play together with your fellow players in the room and interact with them! Hit BIG, win unique Jackpots and share Treat Tickets with fellow players, which will make you a superstar! Have fun!Please Note: Take5 Slots is free to play, but you can enjoy more by purchasing virtual coins.* Take5 Slots is intended for use by those 21 or older.* Take5 Slots does not offer real money gambling or an opportunity to win real money or prizes.",* Practice or success at social casino gaming does not imply future success at real money gambling.,[LLM_ERROR] 'OpenAIClient' object has no attribute 'complete',[LLM_ERROR] 'OpenAIClient' object has no attribute 'complete',0.0,0.0,0.0
2,"By changing the region setting, your e-scooter","gets new features, such as a flashing brake light.",[LLM_ERROR] 'OpenAIClient' object has no attribute 'complete',[LLM_ERROR] 'OpenAIClient' object has no attribute 'complete',0.0,0.0,0.0
3,"The Las Vegas Review-Journal app gives you breaking news updates on what's happening in Southern Nevada, the nation and around the world.FEATURES• Access: The updated RJ app mirrors the experience of using the reviewjournal.com mobile site. All website content is available, including exclusive podcasts, videos and livestreams• News alerts: Users can be notified about breaking developments on the biggest news,","business and sports stories• Social: Never miss a Twitter or Facebook post• LiveCam: View real-time construction at Allegiant Stadium, future home of the Las Vegas Raiders• Sports Extra: Extended coverage of the Raiders, Golden Knights, Rebels, Aces, Aviators and Lights.• ePaper: View or download the replica version of the complete daily newspaper, with classifieds, obituaries, comics and much more",[LLM_ERROR] 'OpenAIClient' object has no attribute 'complete',[LLM_ERROR] 'OpenAIClient' object has no attribute 'complete',0.0167,0.0167,0.0
4,"ABOUT IMOU LIFEImou Life App is specially created for Imou cameras, doorbells, sensors, NVR and other smart IoT products, committed to creating a secure, simple, and smart life for everyone.HIGHLIGHTED FEATURES[Remote View and Control]- Watch live view or recorded playback from anywhere- Real-time communication via two-way talk- Turn on the built-siren or spotlight to warn off intruders[Intelligent Alert]- Get instant alerts whenever something happens- Avoid false alert with AI human detection- Set alert schedule[Security Guarantee]- Emphasize user privacy and comply with GDPR regulations- Encrypted audio and video transmission- Store the video to the cloud, so you can view it even if your device is lost[Easy Sharing]- Share device access to your friends and relatives- Custom share permissions- Share video clips and happy momentsCONTACT USOfficial website: www.imoulife.comCustomer Service: service.global@imoulife.comIf you have any questions or suggestions, feel free to contact us!",Thank you for your support!,[LLM_ERROR] 'OpenAIClient' object has no attribute 'complete',[LLM_ERROR] 'OpenAIClient' object has no attribute 'complete',0.0,0.0,0.0
5,Value Added Tax (VAT) calculator This calculator is easy and comfortable.,You to adjust the tax rate can be calculated.,[LLM_ERROR] 'OpenAIClient' object has no attribute 'complete',[LLM_ERROR] 'OpenAIClient' object has no attribute 'complete',0.0,0.0,0.0
6,"Welcome to poqe video chat app!Private live video chats with millions of exciting and new people, and find new friends around the world.Features😍 Gender and location filters to make the best of your video chats🤖 Real-time text translation on video chat🔒 Private and safe video chats🤙 Add your friends so you can connect with",them anytime💬 Send private messagesPrivacy🙅 Report users that are acting against our policy🚫 Please respect other users and follow our guidelines📍 Your location will never be fully disclosedWe hope you'll enjoy using Poqe the Random Live Video Chatting App!,[LLM_ERROR] 'OpenAIClient' object has no attribute 'complete',[LLM_ERROR] 'OpenAIClient' object has no attribute 'complete',0.0,0.0,0.0
7,Send money to over 90 destinations with,the best rates and prices on the market,[LLM_ERROR] 'OpenAIClient' object has no attribute 'complete',[LLM_ERROR] 'OpenAIClient' object has no attribute 'complete',0.0,0.0,0.0
8,"This free app content some Superheroes Skins for Minecraft with Addon and map pack for Hello Neighbor, and this app just made for fans.Disclaimer:This is an","unofficial application that not affiliated in any way with respective owners.The Name, Brand and the Assets are all property of their respective owners.",[LLM_ERROR] 'OpenAIClient' object has no attribute 'complete',[LLM_ERROR] 'OpenAIClient' object has no attribute 'complete',0.0,0.0,0.0
9,Elite Trainr is a personal training management platform connecting athletes with their trainers.The Elite Trainr - Athletes application gives athletes real time access to:• Workout Programs• Meal Plans• Supplement Protocols• Cardio ProgramsAdditional Features include:1) Track your progress by checking in regularly and uploading progress pictures as well as body measurements.,"2) Improve your workouts week to week by tracking sets, weights and reps.3) Communicate directly with your trainer and get answers to your programs questions quickly.Elite Trainr promotes fitness accountability and motivation by keeping you connected to your goals and fitness plan.",[LLM_ERROR] 'OpenAIClient' object has no attribute 'complete',[LLM_ERROR] 'OpenAIClient' object has no attribute 'complete',0.0,0.0,0.0
10,"FNAF Security Breach Mods for Minecraft Pocket EditionThis application will allow you in just a few clicks to open the world of so-called animatronics, which are based on the characters of the popular game. You will have the opportunity to install fnaf security breach mods in minecraft, fnaf maps, animatronics skins including Freddy, Montgomery and others and the rest. We are sure that all the horror fnaf maps presented in our selection will pleasantly surprise you, and fresh fnaf security breach mods for minecraft pe will enlarge the collection of your favorite animatronics addons for mcpe.Features:- Easy and automatic installation: just click DOWNLOAD, follow the instructions and then PLAY;- Screenshots and descriptions contain each fnaf security breach minecraft mod;- No need for third-party applications;- Nice design and user-friendly user interface;- Stunning in its atmosphere survival horror maps on the theme of fnaf in minecraft;- All addons tested by our team;- Full installation guide;- Play alone or in pvp mode and share your favorite fnaf mods for minecraft with friends;- Animatronic skins from fnaf 9, including Freddy, Moon, Monty and more;- And much more...We hope that our app will bring you exceptional pleasure, and absolutely all mods for minecraft fnaf 9 from our carefully compiled selection will not leave you indifferent.DISCLAIMER: This is an unofficial application for Minecraft PE.",This application is not affiliated in any way with Mojang AB. All rights reserved. In accordance with http://account.mojang.com/documents/brand_guidelines,[LLM_ERROR] 'OpenAIClient' object has no attribute 'complete',[LLM_ERROR] 'OpenAIClient' object has no attribute 'complete',0.0,0.0,0.0
11,"Welcome to the Wave! Download the all-new San Diego Wave Fútbol Club mobile app and keep the team at your fingertips all season long. Access and manage your tickets, shop the Wave FC team store, keep up with the latest news, and follow along as Alex Morgan, Naomi Girma and our world-class roster chase the NWSL title.",Maximize your gameday experience at Snapdragon Stadium by downloading the app today!,[LLM_ERROR] 'OpenAIClient' object has no attribute 'complete',[LLM_ERROR] 'OpenAIClient' object has no attribute 'complete',0.0,0.0,0.0
12,"This is our event app, the one and only app for events and meetings in Volvo Group.It will be used for showing the agenda, speakers and other practical information about the event.In the app you will be able to answer polling questions as well as asking",questions to the stage.The app will be used to send out push notifications with updates before and during the event.We hope you will enjoy using these and many more features in the app during the event.Features:- Program- Information- Dialogue- Social media- Participant list- Image gallery- Notes,[LLM_ERROR] 'OpenAIClient' object has no attribute 'complete',[LLM_ERROR] 'OpenAIClient' object has no attribute 'complete',0.0,0.0,0.0
13,"The Ascend healthcare solutions platform by Blue Summit Software is a complete EVV, billing and payroll solution for Home Healthcare providers. EVV is an integral component of this wholistic approach to home healthcare and required by the CURES act. As such, we are proud to offer the Ascend EVV mobile app to provide a simple, easy to use interface for capturing important data for home visits that are required in today's healthcare industry for proper government accountability and record keeping.","With Ascend EVV, users can easily clock in and out of home visits, capture the location of the caregiver, and provide documentation for the visit.",[LLM_ERROR] 'OpenAIClient' object has no attribute 'complete',[LLM_ERROR] 'OpenAIClient' object has no attribute 'complete',0.0,0.0,0.0
14,"Happy Birthday Photo frames features are:This app is free and easy use.You can use this app in off line and online modes.This app contains HD photo frames and each frame is unique and it contains different types of photo frames.This Happy Birthday photo frames app is best photo editor.User can select image from mobile camera and can choose pics from gallery.You can zoom in , zoom out and scale the photos to set in these photo frames.Wish your","friends and family members with these photo frames and surprise them by placing their photos in these wonderful photo HD photo frames.Save your creations in a separate folder and share those creative pictures to your friends and family members via all the social net works like face book , whasApp , instagram , twitter and etc.Make your memories more beautiful with these happy birthday photo frames.",[LLM_ERROR] 'OpenAIClient' object has no attribute 'complete',[LLM_ERROR] 'OpenAIClient' object has no attribute 'complete',0.0,0.0,0.0
15,"This is an interesting action game, with dozens of weapons waiting for you to experience!The operation of the game is very simple! It only takes ten seconds",to master the game!You can use your own weapons or pick up randomly dropped weapons from the map to defeat your opponent!,[LLM_ERROR] 'OpenAIClient' object has no attribute 'complete',[LLM_ERROR] 'OpenAIClient' object has no attribute 'complete',0.0,0.0,0.0
16,"The mobile phone connects the vehicle through the USB line, using the mirror method,the mobile phone's screen will be show on the vehicle . Then mobile phone can be operated by touch vehice's screen.","When driving on the road, autolink is both convenient and safe for operate your mobile phone. At the same time, the vehicle multimedia can also enjoy all the functions of the mobile phone.",[LLM_ERROR] 'OpenAIClient' object has no attribute 'complete',[LLM_ERROR] 'OpenAIClient' object has no attribute 'complete',0.0,0.0,0.0
