name,type,star_rating,comment_count,az_metadata_date,description_html,description_short,package_name,highest_version_string,highest_version_code,description_short_length,description_html_length,star_range,description_html_clean,ROUGE-1_short_vs_html,ROUGE-2_short_vs_html,ROUGE-L_short_vs_html,cosine_short_vs_html,bart-base_pred
elsawy.ahmed.game.math,GAME,4.2,3,2020-05-27 13:24:17.583558,"-  improve your math with fun games, free mathematics app for everyone.<br><br>It allows to improve mental calculation skills easily and quickly.<br><br>Learn and train:<br><br>- Addition<br>- Subtraction<br>- Multiplication<br>- Division<br>- Exponentiation<br>- Square Root<br><br>Keep your brain fit through regular math exercises.<br><br>It has been designed suitable for both the smartphones and the tablets.<br><br>Language: English.","- improve your math with fun games, free mathematics app for everyone.",elsawy.ahmed.game.math,1.0,2,70,439,4-5,"-  improve your math with fun games, free mathematics app for everyone.It allows to improve mental calculation skills easily and quickly.Learn and train:- Addition- Subtraction- Multiplication- Division- Exponentiation- Square RootKeep your brain fit through regular math exercises.It has been designed suitable for both the smartphones and the tablets.Language: English.",0.3492063492063492,0.3278688524590164,0.3492063492063492,0.8481007,"-  improve your math with fun games, free mathematics app for everyone.Language: English.Learn and train:- Addition- Subtraction- Multiplication- Division- Exponentiation- Square RootKeep your brain fit through regular math exercises.It allows to improve mental calculation skills easily and quickly."
com.ily.insect.evolution,GAME,2.56,63,2025-03-21 01:38:34.057480,"Insect Evolution is a casual mobile game for passing levels; you are a little ant, lost in the desert, and the journey home is far away. You have to pass all the levels to find your family, but it is not easy.<br><br>On the road you need to eat insects smaller than you to grow up, but at the same time don’t be eaten, be careful of insects larger than you and stronger creatures.",be careful of insects larger than you and stronger creatures.,com.ily.insect.evolution,1.10.12,112,61,380,2-3,"Insect Evolution is a casual mobile game for passing levels; you are a little ant, lost in the desert, and the journey home is far away. You have to pass all the levels to find your family, but it is not easy.On the road you need to eat insects smaller than you to grow up, but at the same time don’t be eaten, be careful of insects larger than you and stronger creatures.",0.2352941176470588,0.216867469879518,0.2352941176470588,0.5829729,"Insect Evolution is a casual mobile game for passing levels; you are a little ant, lost in the desert, and the journey home is far away.On the road you need to eat insects smaller than you to grow up, but at the same time don’t be eaten, be careful of insects"
se.posten.riktigavykort,{},3.6463416,1687,2025-04-03 16:30:18.706864,"With Postcards, you can send real physical postcards to everyone in the world, directly to the recipient&#39;s mailbox!<br><br>Download the app today and surprise someone you love.<br><br>As simple as this:<br><br>• Select a picture from your photo album or take a new photo with the camera<br>• Be creative and design the front of the card with custom texts and emojis<br>• Write a personal greeting on the back with the help of stylish fonts and colours<br>• Pay by Swish or credit card<br>• PostNord Sweden will print and send the postcard to the recipient you have chosen<br>• If you send your postcard within Sweden before 16.00 Central European Time on a weekday, the card will arrive within two days. To addresses outside of Sweden, it will take a few days longer depending on the recipient’s country.<br><br>If you have questions regarding this app please contact PostNord Customer Service by Email: kundservice.digital.se@postnord.com<br><br>Regards<br>PostNord","Send postcards to everyone in the world, directly to the recipient's mailbox!",se.posten.riktigavykort,5.14.29,234,77,970,3-4,"With Postcards, you can send real physical postcards to everyone in the world, directly to the recipient's mailbox!Download the app today and surprise someone you love.As simple as this:• Select a picture from your photo album or take a new photo with the camera• Be creative and design the front of the card with custom texts and emojis• Write a personal greeting on the back with the help of stylish fonts and colours• Pay by Swish or credit card• PostNord Sweden will print and send the postcard to the recipient you have chosen• If you send your postcard within Sweden before 16.00 Central European Time on a weekday, the card will arrive within two days. To addresses outside of Sweden, it will take a few days longer depending on the recipient’s country.If you have questions regarding this app please contact PostNord Customer Service by Email: kundservice.digital.se@postnord.comRegardsPostNord",0.1538461538461538,0.1317365269461078,0.1538461538461538,0.6383245,"With Postcards, you can send real physical postcards to everyone in the world, directly to the recipient's mailbox!Download the app today and surprise someone you love.As simple as this:• Select a picture from your photo album or take a new photo with the camera• Be creative and design the front"
com.myjps.android,{},3.8403194,2330,2025-05-12 21:53:03.810067,"The new MyJPS Mobile fits everyone’s lifestyle, access your JPS account from anywhere , anytime!<br><br>Our 24/7 Service includes:-<br><br> Request services for new connections, transfers,<br>temporary service, account upgrades, etc.<br> Outage reporting and tracking<br> View and download your monthly bills<br> Bill payments &amp; Top Ups<br> Register and manage multiple JPS accounts<br> Energy usage management<br><br>Join the JPS Community online! Sign up with your email<br>address or mobile number. If you are a customer, access<br>your JPS customer account fast with your Ebill email<br>address","MyJPS Mobile app to view account info, pay your bills, and track outages.",com.myjps.android,3.5.1,68,73,608,3-4,"The new MyJPS Mobile fits everyone’s lifestyle, access your JPS account from anywhere , anytime!Our 24/7 Service includes:- Request services for new connections, transfers,temporary service, account upgrades, etc. Outage reporting and tracking View and download your monthly bills Bill payments & Top Ups Register and manage multiple JPS accounts Energy usage managementJoin the JPS Community online! Sign up with your emailaddress or mobile number. If you are a customer, accessyour JPS customer account fast with your Ebill emailaddress",0.1935483870967742,0.0439560439560439,0.1290322580645161,0.7541445,"The new MyJPS Mobile fits everyone’s lifestyle, access your JPS account from anywhere, anytime!Our 24/7 Service includes:- Request services for new connections, transfers,temporary service, account upgrades, etc. Outage reporting and tracking View and download your monthly bills Bill payments & Top"
com.barringtontv.android.wluc,{},3.58,155,2023-03-21 01:59:31.362140,"The TV6 &amp; FOX UP News app is your way to stay on top of local news and weather when you&#39;re on the go. From breaking news in your community to severe weather alerts before a storm strikes, it&#39;s everything you need to know right in your phone.<br><br>This app is ad supported.","Breaking news, weather alerts, sports and deals from around Michigan's UP",com.barringtontv.android.wluc,5.0.5,2016200287,73,286,3-4,"The TV6 & FOX UP News app is your way to stay on top of local news and weather when you're on the go. From breaking news in your community to severe weather alerts before a storm strikes, it's everything you need to know right in your phone.This app is ad supported.",0.2424242424242424,0.0625,0.1515151515151515,0.44439125,"The TV6 & FOX UP News app is your way to stay on top of local news and weather when you're on the go. From breaking news in your community to severe weather alerts before a storm strikes, it's everything you need to know right in your phone.This app is not available in all markets"
edu.rwu.mobile,{},3.3846154,3,2021-06-10 09:47:24.905660,"Always keep RWU close at hand with our new mobile app. <br><br>You&#39;ll have access to campus news and events, sports schedules, the Hawks Herald and the shuttle schedule. <br><br>Login and receive your grades and course schedule right on your mobile device. <br><br>New to RWU? Check out our map option to help you navigate around campus.",Always keep Roger Williams University close at hand with our new mobile app.,edu.rwu.mobile,5.5.1,551,76,341,3-4,"Always keep RWU close at hand with our new mobile app. You'll have access to campus news and events, sports schedules, the Hawks Herald and the shuttle schedule. Login and receive your grades and course schedule right on your mobile device. New to RWU? Check out our map option to help you navigate around campus.",0.2898550724637681,0.2388059701492537,0.2898550724637681,0.5227171,"Always keep RWU close at hand with our new mobile app. Login and receive your grades and course schedule right on your mobile device. You'll have access to campus news and events, sports schedules, the Hawks Herald and the shuttle schedule. New to RWU? Check out our map option to help you navigate"
com.unicorn.superhero.bridge,GAME,4.019231,6,2023-08-11 13:52:40.989177,"&quot;Great power requires great responsibilities&quot;<br><br>The world is on the verge of extinction and utmost chaos and it needs to be saved by an outstanding hero.<br><br>Are you the one that we need? Or will you run?<br><br>Join the most epic superhero race to claim your power and face the endless journey in the world! <br>Stack the right power and transform into your favorite heroes to break through multiple challenges in your way to attack the final enemy. <br><br>The more powers you gather, the stronger you become. <br><br>Become the spider boy to detect the danger with the spider sense or transform into a powerful wizard with the flying superpower to rush through the obstacles with ease. <br><br>GAME FEATURE: <br>- Simple and funny gameplay: Running is all you have to do.<br>- Impressive 3d graphic <br>- Outstanding superhero theme<br>- Various heroes for various stair challenges<br><br>HOW TO PLAY <br>- Move your hero with one finger<br>- Collect your power and cross the bridge as fast as possible<br> <br>Fight and meet your opponents in the final area. The peace of the world lies in your hand.<br><br>Save the world now!!!!",Collect hero powers and rush through obstacles to win the race. Beware of traps!,com.unicorn.superhero.bridge,1.0.7,20007,80,1152,4-5,"""Great power requires great responsibilities""The world is on the verge of extinction and utmost chaos and it needs to be saved by an outstanding hero.Are you the one that we need? Or will you run?Join the most epic superhero race to claim your power and face the endless journey in the world! Stack the right power and transform into your favorite heroes to break through multiple challenges in your way to attack the final enemy. The more powers you gather, the stronger you become. Become the spider boy to detect the danger with the spider sense or transform into a powerful wizard with the flying superpower to rush through the obstacles with ease. GAME FEATURE: - Simple and funny gameplay: Running is all you have to do.- Impressive 3d graphic - Outstanding superhero theme- Various heroes for various stair challengesHOW TO PLAY - Move your hero with one finger- Collect your power and cross the bridge as fast as possible Fight and meet your opponents in the final area. The peace of the world lies in your hand.Save the world now!!!!",0.1122448979591836,0.0206185567010309,0.0918367346938775,0.54451203,"""Great power requires great responsibilities""The world is on the verge of extinction and utmost chaos and it needs to be saved by an outstanding hero. The peace of the world lies in your hand.Are you the one that we need? Or will you run?Join the most epic superhero race to claim your power"
com.mtlvvwgmxp.slidehoops,GAME,3.9924529,5086,2021-05-06 23:25:20.835769,"In Slide Hoops, your goal is spin the metal shape around, and aim it so the colorful rings end up in the hole. First, you have to analyse the shape in front of you - some of them are tricky and you need to be clever to solve them. <br><br>Then you have to use precision and timing to spin the shape the right way to get the rings off. Then at last, you need to make sure you aim the figure just right, so the rings end up in the hole. If one of them ends up outside, you lose! <br><br>Don’t worry, you can retry the level if you don’t get it! While you play, you also collect coins that will unlock special rewards: like different colors of the rings, and special levels. You will never get bored again! <br><br>This game will test your intelligence, timing, and accuracy! Are you ready to be hooked?<br><br>---<br>From the studio that brought you other free games like Pull the Pin, Parking Jam 3D, Sandwich!, Clash of Blocks, Paint The Cube and more!<br><br>Stay in touch with us online:<br><br>&gt; Instagram: https://www.instagram.com/popcore<br>&gt; TikTok: https://www.tiktok.com/@popcore<br>&gt; Web: https://popcore.com/",Get the rings off the hook! Unlock the rings and solve amazing puzzles!,com.mtlvvwgmxp.slidehoops,0.43.1,4301,71,1128,3-4,"In Slide Hoops, your goal is spin the metal shape around, and aim it so the colorful rings end up in the hole. First, you have to analyse the shape in front of you - some of them are tricky and you need to be clever to solve them. Then you have to use precision and timing to spin the shape the right way to get the rings off. Then at last, you need to make sure you aim the figure just right, so the rings end up in the hole. If one of them ends up outside, you lose! Don’t worry, you can retry the level if you don’t get it! While you play, you also collect coins that will unlock special rewards: like different colors of the rings, and special levels. You will never get bored again! This game will test your intelligence, timing, and accuracy! Are you ready to be hooked?---From the studio that brought you other free games like Pull the Pin, Parking Jam 3D, Sandwich!, Clash of Blocks, Paint The Cube and more!Stay in touch with us online:> Instagram: https://www.instagram.com/popcore> TikTok: https://www.tiktok.com/@popcore> Web: https://popcore.com/",0.1023255813953488,0.0469483568075117,0.0837209302325581,0.52237886,"In Slide Hoops, your goal is spin the metal shape around, and aim it so the colorful rings end up in the hole. Then you have to use precision and timing to spin the shape the right way to get the rings off. If one of them ends up outside, you lose! Don’"
com.robinvanrodeman.truck,{},3.85,39,2023-01-23 17:19:03.390320,Over 15 different truck sounds.<br>Just press the button and listen to all the sounds.<br><br>Longclick to save the sounds to a local folder to use in other apps !<br>Longclick to save as notification sound<br>Longclick to save as ringtone sound.<br>Loop sounds with the loop button at the top.<br><br>Any suggestions or questions ? Be sure to mails us !<br><br>Have fun and enjoy,Over 15 different truck sounds.,com.robinvanrodeman.truck,3.2.1,3212,31,380,3-4,Over 15 different truck sounds.Just press the button and listen to all the sounds.Longclick to save the sounds to a local folder to use in other apps !Longclick to save as notification soundLongclick to save as ringtone sound.Loop sounds with the loop button at the top.Any suggestions or questions ? Be sure to mails us !Have fun and enjoy,0.1492537313432836,0.123076923076923,0.1492537313432836,0.5717131,Over 15 different truck sounds.Loop sounds with the loop button at the top.Just press the button and listen to all the sounds.Longclick to save the sounds to a local folder to use in other apps!Longclick and save as notification soundLongclick for save as ringtone sound.Any suggestions or
com.daerisoft.crashwall,GAME,3.9903226,3791,2021-02-17 09:13:40.164020,"<strong>Break every wall that stands in your way!<br>When you&#39;re angry and stressed,<br>release the rage with Wall breaker2</strong><br><br><font color=""#0000CD"">YOUTUBE</font><br>https://www.youtube.com/c/DAERISOFT<br><br>Check your coupon code on the YouTube channel.<br>Please click Subscribe and Like button.<br><br>We have added the long awaited features<br>-Skill Evolution System,<br>-Idle Game System<br>-Practice Mode System<br>-UI Optimization<br><br>We don&#39;t plan to stop there!!<br><br><font color=""#FF0000"">Changing the time of the device will automatically result to a ban.<br>Please do not change the time to reset cooldowns of boxes.</font><br><br><font color=""#0000CD"">Home page</font><br><font color=""#FF0000"">https://goo.gl/wDvnvn</font><br><font color=""#FF0000"">https://www.facebook.com/daerisoft</font><br><font color=""#FF0000"">https://twitter.com/daerisoft</font><br><br>■■■■■<strong>Game Introduction</strong>■■■■■<br><br><font color=""#0000CD"">This game was created for the following people!</font><br><br>▷ Those who have a hard time punching walls<br>▷ Those who secretly want to destroy things<br>▷ Those with horrible bosses<br>▷ When your paycheck is smaller than your bills<br>▷ Those who need anger management<br>▷ When you passionately want to do nothing<br>▷ When you fall trying to tie your shoe laces<br>▷ When you&#39;re in the toilet, constipated <br><br><strong>Smash the Walls 2 will handle it all.</strong><br><br>■■■■■<strong>How to Play</strong>■■■■■<br><br>▷ Find out how much damage you deal through practice mode!<br>▷ Level-up and destroy all the walls!<br>▷ Various stats and skills to create your own unique character.<br>▷ Become a top-ranker through the challenge mode.<br>▷ Escape from a variety of stages!<br>▷ Open boxes and unleash the powers of Troll Kim!<br><br>Your reviews are preciouse to us. Please rate the app.^^",Break every wall that stands in your way! When you're angry and stressed,com.daerisoft.crashwall,24.00.06,287,72,1881,3-4,"Break every wall that stands in your way!When you're angry and stressed,release the rage with Wall breaker2YOUTUBEhttps://www.youtube.com/c/DAERISOFTCheck your coupon code on the YouTube channel.Please click Subscribe and Like button.We have added the long awaited features-Skill Evolution System,-Idle Game System-Practice Mode System-UI OptimizationWe don't plan to stop there!!Changing the time of the device will automatically result to a ban.Please do not change the time to reset cooldowns of boxes.Home pagehttps://goo.gl/wDvnvnhttps://www.facebook.com/daerisofthttps://twitter.com/daerisoftGame IntroductionThis game was created for the following people! Those who have a hard time punching walls Those who secretly want to destroy things Those with horrible bosses When your paycheck is smaller than your bills Those who need anger management When you passionately want to do nothing When you fall trying to tie your shoe laces When you're in the toilet, constipated Smash the Walls 2 will handle it all.How to Play Find out how much damage you deal through practice mode! Level-up and destroy all the walls! Various stats and skills to create your own unique character. Become a top-ranker through the challenge mode. Escape from a variety of stages! Open boxes and unleash the powers of Troll Kim!Your reviews are preciouse to us. Please rate the app.^^",0.1142857142857143,0.1069958847736625,0.1142857142857143,0.671466,Home pagehttps://goo.gl/wDvnvnhttps://www.facebook.com/daerisoftGame IntroductionThis game was created for the following people! Those who have a hard time punching walls Those who secretly want to destroy things Those with horrible bosses When your paycheck is smaller than your bills
