description_html_clean,extracted_text,description_short,generated_about,rouge1_score,rouge2_score,rougeL_score
"-  improve your math with fun games, free mathematics app for everyone.It allows to improve mental calculation skills easily and quickly.Learn and train:- Addition- Subtraction- Multiplication- Division- Exponentiation- Square RootKeep your brain fit through regular math exercises.It has been designed suitable for both the smartphones and the tablets.Language: English.","Improve your math with fun games using this free mathematics app for everyone. It allows you to enhance your mental calculation skills easily and quickly. Learn and train in addition, subtraction, multiplication, division, exponentiation, and square root. Keep your brain fit through regular math exercises. The app is designed for both smartphones and tablets. Language: English.","- improve your math with fun games, free mathematics app for everyone.","""Improve your math with fun games using this free mathematics app for everyone.""",0.9166666666666666,0.8181818181818182,0.9166666666666666
"Insect Evolution is a casual mobile game for passing levels; you are a little ant, lost in the desert, and the journey home is far away. You have to pass all the levels to find your family, but it is not easy.On the road you need to eat insects smaller than you to grow up, but at the same time don’t be eaten, be careful of insects larger than you and stronger creatures.","Insect Evolution is a casual mobile game where you play as a little ant lost in the desert, on a journey to find your family. You must navigate through various levels, eating smaller insects to grow while avoiding larger, stronger creatures.",be careful of insects larger than you and stronger creatures.,Insect Evolution: A casual mobile game where you play as a little ant on a journey to find your family.,0.13333333333333333,0.0,0.13333333333333333
"With Postcards, you can send real physical postcards to everyone in the world, directly to the recipient's mailbox!Download the app today and surprise someone you love.As simple as this:• Select a picture from your photo album or take a new photo with the camera• Be creative and design the front of the card with custom texts and emojis• Write a personal greeting on the back with the help of stylish fonts and colours• Pay by Swish or credit card• PostNord Sweden will print and send the postcard to the recipient you have chosen• If you send your postcard within Sweden before 16.00 Central European Time on a weekday, the card will arrive within two days. To addresses outside of Sweden, it will take a few days longer depending on the recipient’s country.If you have questions regarding this app please contact PostNord Customer Service by Email: kundservice.digital.se@postnord.comRegardsPostNord","With Postcards, you can send real physical postcards to everyone in the world, directly to the recipient's mailbox! Download the app today and surprise someone you love. 

As simple as this:
• Select a picture from your photo album or take a new photo with the camera
• Be creative and design the front of the card with custom texts and emojis
• Write a personal greeting on the back with the help of stylish fonts and colours
• Pay by Swish or credit card
• PostNord Sweden will print and send the postcard to the recipient you have chosen
• If you send your postcard within Sweden before 16.00 Central European Time on a weekday, the card will arrive within two days. To addresses outside of Sweden, it will take a few days longer depending on the recipient’s country.","Send postcards to everyone in the world, directly to the recipient's mailbox!","""Send real physical postcards worldwide with Postcards!""",0.2,0.0,0.2
"The new MyJPS Mobile fits everyone’s lifestyle, access your JPS account from anywhere , anytime!Our 24/7 Service includes:- Request services for new connections, transfers,temporary service, account upgrades, etc. Outage reporting and tracking View and download your monthly bills Bill payments & Top Ups Register and manage multiple JPS accounts Energy usage managementJoin the JPS Community online! Sign up with your emailaddress or mobile number. If you are a customer, accessyour JPS customer account fast with your Ebill emailaddress","The new MyJPS Mobile fits everyone’s lifestyle, allowing you to access your JPS account from anywhere, anytime! Our 24/7 Service includes: requesting services for new connections, transfers, temporary service, account upgrades, outage reporting and tracking, viewing and downloading monthly bills, bill payments & top-ups, and managing multiple JPS accounts. Join the JPS Community online! If you are a customer, access your JPS customer account fast with your Ebill email address.","MyJPS Mobile app to view account info, pay your bills, and track outages.","MyJPS Mobile: Access Your JPS Account Anytime, Anywhere!",0.380952380952381,0.10526315789473685,0.2857142857142857
"The TV6 & FOX UP News app is your way to stay on top of local news and weather when you're on the go. From breaking news in your community to severe weather alerts before a storm strikes, it's everything you need to know right in your phone.This app is ad supported.","The TV6 & FOX UP News app is your way to stay on top of local news and weather when you're on the go. From breaking news in your community to severe weather alerts before a storm strikes, it's everything you need to know right in your phone. This app is ad supported.","Breaking news, weather alerts, sports and deals from around Michigan's UP",TV6 & FOX UP News: Stay updated with local news and weather on the go.,0.30769230769230765,0.0,0.15384615384615383
"Always keep RWU close at hand with our new mobile app. You'll have access to campus news and events, sports schedules, the Hawks Herald and the shuttle schedule. Login and receive your grades and course schedule right on your mobile device. New to RWU? Check out our map option to help you navigate around campus.","Always keep RWU close at hand with our new mobile app. You'll have access to campus news and events, sports schedules, the Hawks Herald, and the shuttle schedule. Login and receive your grades and course schedule right on your mobile device. New to RWU? Check out our map option to help you navigate around campus.",Always keep Roger Williams University close at hand with our new mobile app.,"RWU Mobile App: Your campus news, events, and navigation tool.",0.17391304347826086,0.09523809523809525,0.17391304347826086
"""Great power requires great responsibilities""The world is on the verge of extinction and utmost chaos and it needs to be saved by an outstanding hero.Are you the one that we need? Or will you run?Join the most epic superhero race to claim your power and face the endless journey in the world! Stack the right power and transform into your favorite heroes to break through multiple challenges in your way to attack the final enemy. The more powers you gather, the stronger you become. Become the spider boy to detect the danger with the spider sense or transform into a powerful wizard with the flying superpower to rush through the obstacles with ease. GAME FEATURE: - Simple and funny gameplay: Running is all you have to do.- Impressive 3d graphic - Outstanding superhero theme- Various heroes for various stair challengesHOW TO PLAY - Move your hero with one finger- Collect your power and cross the bridge as fast as possible Fight and meet your opponents in the final area. The peace of the world lies in your hand.Save the world now!!!!","Great power requires great responsibilities. The world is on the verge of extinction and chaos, and it needs to be saved by an outstanding hero. Are you the one that we need? Join the most epic superhero race to claim your power and face the endless journey in the world! Stack the right power and transform into your favorite heroes to break through multiple challenges on your way to attack the final enemy. The more powers you gather, the stronger you become. Become the spider boy to detect danger with spider sense or transform into a powerful wizard with flying superpower to rush through obstacles with ease. 

GAME FEATURE:
- Simple and funny gameplay: Running is all you have to do.
- Impressive 3D graphics
- Outstanding superhero theme
- Various heroes for various stair challenges

HOW TO PLAY:
- Move your hero with one finger
- Collect your power and cross the bridge as fast as possible
- Fight and meet your opponents in the final area. The peace of the world lies in your hands. Save the world now!",Collect hero powers and rush through obstacles to win the race. Beware of traps!,"""Epic Superhero Race: Save the World!""",0.2,0.0,0.1
"In Slide Hoops, your goal is spin the metal shape around, and aim it so the colorful rings end up in the hole. First, you have to analyse the shape in front of you - some of them are tricky and you need to be clever to solve them. Then you have to use precision and timing to spin the shape the right way to get the rings off. Then at last, you need to make sure you aim the figure just right, so the rings end up in the hole. If one of them ends up outside, you lose! Don’t worry, you can retry the level if you don’t get it! While you play, you also collect coins that will unlock special rewards: like different colors of the rings, and special levels. You will never get bored again! This game will test your intelligence, timing, and accuracy! Are you ready to be hooked?---From the studio that brought you other free games like Pull the Pin, Parking Jam 3D, Sandwich!, Clash of Blocks, Paint The Cube and more!Stay in touch with us online:> Instagram: https://www.instagram.com/popcore> TikTok: https://www.tiktok.com/@popcore> Web: https://popcore.com/","In Slide Hoops, your goal is to spin the metal shape around and aim it so the colorful rings end up in the hole. You need to analyze the shape in front of you, as some are tricky and require clever solutions. Use precision and timing to spin the shape correctly to get the rings off, and aim just right to ensure the rings end up in the hole. If one ends up outside, you lose, but you can retry the level. While playing, you collect coins to unlock special rewards, such as different colors of the rings and special levels. This game will test your intelligence, timing, and accuracy!",Get the rings off the hook! Unlock the rings and solve amazing puzzles!,"Slide Hoops: Spin, Aim, and Score with Precision!",0.09523809523809525,0.0,0.09523809523809525
Over 15 different truck sounds.Just press the button and listen to all the sounds.Longclick to save the sounds to a local folder to use in other apps !Longclick to save as notification soundLongclick to save as ringtone sound.Loop sounds with the loop button at the top.Any suggestions or questions ? Be sure to mails us !Have fun and enjoy,Over 15 different truck sounds. Just press the button and listen to all the sounds. Longclick to save the sounds to a local folder to use in other apps! Longclick to save as notification sound. Longclick to save as ringtone sound. Loop sounds with the loop button at the top. Have fun and enjoy!,Over 15 different truck sounds.,"""Truck Sounds: Listen, Save, and Enjoy!""",0.3636363636363636,0.22222222222222224,0.3636363636363636
"Break every wall that stands in your way!When you're angry and stressed,release the rage with Wall breaker2YOUTUBEhttps://www.youtube.com/c/DAERISOFTCheck your coupon code on the YouTube channel.Please click Subscribe and Like button.We have added the long awaited features-Skill Evolution System,-Idle Game System-Practice Mode System-UI OptimizationWe don't plan to stop there!!Changing the time of the device will automatically result to a ban.Please do not change the time to reset cooldowns of boxes.Home pagehttps://goo.gl/wDvnvnhttps://www.facebook.com/daerisofthttps://twitter.com/daerisoftGame IntroductionThis game was created for the following people! Those who have a hard time punching walls Those who secretly want to destroy things Those with horrible bosses When your paycheck is smaller than your bills Those who need anger management When you passionately want to do nothing When you fall trying to tie your shoe laces When you're in the toilet, constipated Smash the Walls 2 will handle it all.How to Play Find out how much damage you deal through practice mode! Level-up and destroy all the walls! Various stats and skills to create your own unique character. Become a top-ranker through the challenge mode. Escape from a variety of stages! Open boxes and unleash the powers of Troll Kim!Your reviews are preciouse to us. Please rate the app.^^","Break every wall that stands in your way! When you're angry and stressed, release the rage with Wall Breaker 2. 

This game was created for those who have a hard time punching walls, secretly want to destroy things, have horrible bosses, need anger management, or just want to smash walls when feeling frustrated. 

We have added long-awaited features such as the Skill Evolution System, Idle Game System, Practice Mode System, and UI Optimization. 

Find out how much damage you deal through practice mode, level up and destroy all the walls, and become a top-ranker through challenge mode. Escape from a variety of stages and unleash the powers of Troll Kim!",Break every wall that stands in your way! When you're angry and stressed,"""Release your rage with Wall Breaker 2!""",0.19047619047619047,0.0,0.09523809523809523
