index,prediction
0,"Phillips auction house brings a fresh contemporary focus to the defining aesthetic movements of the last two centuries, with a specialized knowledge in what's happening right now."
1,Take5 is a new social casino game that allows you to interact with other players in a fun and social way.
2,You can control your e-scooter from anywhere in the world with the push of a button.
3,Stay up-to-date with the news in Las Vegas.
4,"Imou Life is a smart home and security app that allows you to control, view, and share your Imou cameras and other smart IoT products from anywhere."
5,This calculator will help you to calculate the value added tax (VAT) on your goods and services.
6,Poqe is a free video chat app for Android and iOS.
7,"Destinations can be sent to anywhere in the world, 24 hours a day, seven days a week."
8,Batman v Superman: Dawn of Justice is one of the most famous video games in the world.
9,Elite Trainr - Athletes is a free app available on the Apple and Google Play stores.
10,FNaf Security Breach Mods for Minecraft Pocket Edition is an application that will allow you to experience the horror of fnaf in a whole new way.
11,The San Diego Wave Ftbol Club are back in the National Women's Soccer League (NWSL) for the second season in a row.
12,How to use the app:
13,"The Ascend EVV mobile app provides a simple, easy to use interface for capturing important data for home visits that are required in today's healthcare industry for proper government accountability and record keeping."
14,Happy Birthday Photo frames is a best photo editor app which contains HD photo frames and each frame is unique.
15,"In this game, you will have to fight your way through a huge map to defeat your opponents!"
16,"Mobile phone autolink is a new type of mobile phone system, which allows the driver to use their mobile phone while driving."
17,Training by Airbus App provides trainees and instructors in Airbus training centres up-to-date training schedule and practical information.
18,The Tax Calculator app is a must-have tool for anyone looking to stay on top of their tax obligations and save money in the process.
19,How to use this paper shredder sound in mobile application?
20,Find out which DNS server is the fastest for your network or smartphone.
21,Zombie typing game is one of the best typing games on Freepik.
22,Search for homes for sale on Kauai and Hawaii Island using Aloha Living.
23,.
24,A simple and easy application for compiling your weekly list of groceries.
25,"Enablon, the world’s leading provider of Sustainability, EH&S and Operational Risk Management Software, has launched a new app to help companies improve their environmental, social and safety (ES&S) performance."
26,TMC's The Morning Context app is now available on the Apple and Google Play stores.
27,Genii Games is a fun app for learning African languages.
28,Real Shuffle Player is a simple and efficient audio player with unique features such as a real and intelligent shuffle mode.
29,"Whether you're a coach, a parent, or a team member, Crossbar has you covered."
30,Brain Buzzer - Matches Puzzles is a Puzzle Game to Stimulate Your Brain!
31,mabspace is a free mobile app that connects you with local experts who can help with your next project.
32,"FCM Travel's new app gives you all the tools you need to plan, book, and monitor your travel."
33,"Draw, Paint, Make your Beautiful Gallery!"
34,"If you're worried about a nuclear attack on your country, you might want to take a look at this app."
35,FIE Swordplay is the world's first mobile game with real rules and techniques from athletic fencing that is officially supported by the International Fencing Federation.
36,Property management app for iPhone and Android.
37,DuckTheLine is a new app that allows you to live-stream your duck-watching experience from anywhere in the world.
38,Poptropica Island is a free-to-play massively multiplayer online role-playing game for Android and iOS devices.
39,"You can easily create, edit and share your own personal notes with the help of this app."
40,Manulife Mobile is the only app you need to manage your Group Benefits and Group Retirement plans with Manulife.
41,LibraDragon is a mobile game developed and designed independently by our team.
42,"Hey, it's time to go to the moon!"
43,Road Draw: Climb Your Own Hills is one of the most addictive and entertaining physics based hill racing games ever made!
44,Bologna Porta Saragozza Bologna Travel Guide is the perfect companion to your trip.
45,"Dancehall music radio, here you can listen to all the best dancehall reggae music, on the internet."
46,3d fire edges wallpapers is one of the best 3d wallpapers for mobile phones.
47,AXA myAX is a smartphone app that gives you access to all your AXA products and services in one place.
48,SM Player is a.mp3 music player for listeners who just want to play their songs without all the extraneous features.
49,The Public Transport Authority of Cyprus (Pame) has launched a new mobile phone app.
50,"If you are looking for a way to track the whereabouts of your device, then you have come to the right place."
51,The Waimangu Volcanic Valley is New Zealand’s most spectacular natural beauty.
52,"BN Browser Search is world’s most complete, independent private search engine."
53,If you want to find out which princess are you then you have come to the right place.
54,Nonograms is a puzzle game where the player has to fill cells in the grid according to the legends at the sides of the grid to reveal the hidden picture.
55,TaskEasy for Contractors is an app created for the landscaping and lawn mowing professionals to grow the business and simplify life of the small local business owners.
56,MP4 Cutter is the best app to cut MP4 video on your android phone.
57,Download the RCC Magnum app on your mobile to keep in touch with the members of the Magnum community.
58,Red Canoe Credit Union is bringing you Mobile Banking to your Android Device.
59,Call Forwarding App is one of the best application to forward your calls to other phone numbers.
60,"Breaking News US is your one-stop shop for local and national news, delivered lightning-fast."
61,All audio files are copyrighted.
62,Flowers Keyboard is a new type of keyboard which will change the background of your keyboard with a unique design and amazing powerful Colors.
63,"Welcome to our football predictions page, where you will be able to predict the results of every match of the current season."
64,"Socios.com is the home of Fan TokensTM, official digital assets for the world’s biggest sports teams."
65,SendMoneyPacific is a free app that allows you to compare the costs of sending money to your families in the Pacific.
66,The H-E-B Partners (employees) app is available on the iTunes and Google Play stores.
67,"Princess Bridge is a new game for girls, where you have to help the princess get into the castle."
68,Balls Bricks Breaker 2 - Puzzle Challenge is a simple addictive and pleasurable bricks breaker game!
69,The LogAlto mobile app is designed for use with the Log Alto web app.
70,"RightAccess is a social networking platform for individuals, businesses and professional associations."
71,"Computer is a free, full-featured file explorer, designed to support multiple tabs, so you can work with multiple folders at the same time."
72,"This app is intended only for owners of the Tempest Game Clock: a deluxe heavy-weighted, traditional form factor chess clock (using a patented precision rocker controller during play, not the touch screen)."
73,"If you are about to have a medical procedure, such as an operation to remove a kidney or a heart procedure, you might want to take some time to think about your health."
74,"The Momentum Health app for Android provides you with unlimited access to your employer's corporate wellness offering - including biometric screenings, progressive health surveys, coaching, wearable-device integration, and more!"
75,Have you ever wondered what it would be like to live in an apartment building?
76,Wild West Shooter is an action-packed gun battle game in which you take on the role of a gunfighter in the old west.
77,"The Ag PhD fertilizer application is a great reference for you as you plan fertilizer applications on your farm, and you will be given the amount of vital crop nutrients that your desired yield will need."
78,PurrSong Cat Health is an app that helps pet owners monitor and care for their cats.
79,Find out more at Hudl.com
80,The Google One app is available on the Google Play Store for Android devices.
81,All pictures are copyrighted.
82,"Clash Guys is now available on Xbox One, PlayStation 4 and PC!"
83,All pictures are copyrighted.
84,"BermudAir is a new, boutique airline that offers corporate and leisure travellers short, all-business class flights between Bermuda, the East Coast U.S., and south Florida."
85,Crypto Burst is a brain-storming board game where you have to use your big brain moves to swap and match 3 or more cryptos to unleash awesome combos!
86,Super Screenshot is a free app to help you take screenshots on your Android device.
