Data ID,Iteration,Extracted text from Extractor Agent,Prompt used for Summarizer Agent,Generated About,ROUGE-1 score,ROUGE-2 score,ROUGE-L score,HTML,Ground truth description,Final Summarizer Prompt
0,0,"The official Medford School District 549C app gives you a personalized window into what is happening at the district and schools. Get the news and information that you care about and get involved. 

Anyone can: 
- View District and school news 
- Use the district tip line 
- Receive notifications from the district and schools 
- Access the district directory 
- Display information personalized to your interests 

Parents and students can: 
- View grades, assignments, and attendance 
- View and add contact information","
Summarize the following extracted text from an app's description into a short term/phrase introducing the app:
<EXTRACTED_APP'S_DESCRIPTION>
$extracted_text
</EXTRACTED_APP'S_DESCRIPTION>
 
The output should include only a short term/phrase introducing the app.
",Medford School District 549C Official App,0.923076923076923,0.5454545454545454,0.7692307692307692,"The official Medford School District 549C app gives you a personalized window into what is happening at the district and schools. Get the news and information that you care about and get involved.            Anyone can:             -View District and school news             -Use the district tip line             -Receive notifications from the district and schools             -Access the district directory             -Display information personalized to your interests              Parents and students can:              -View grades, assignments, and attendance              -View and add contact information",The official Medford School District 549C app!
1,0,"Official App For Houghton College. Use this app to get involved, stay organized, access resources, and communicate with others on our campus.","
Summarize the following extracted text from an app's description into a short term/phrase introducing the app:
<EXTRACTED_APP'S_DESCRIPTION>
$extracted_text
</EXTRACTED_APP'S_DESCRIPTION>
 
The output should include only a short term/phrase introducing the app.
",Houghton College Official App,0.888888888888889,0.5714285714285715,0.4444444444444445,"Official App For Houghton College.Use this app to get involved, stay organized, access resources, and communicate with others on our campus.",Official App For Houghton College.
1,1,"Official App For Houghton College. Use this app to get involved, stay organized, access resources, and communicate with others on our campus.","Summarize the following extracted text from an app's description into a short term/phrase introducing the app. If the beginning of the extracted text includes an official name/title, prioritize using it in the summary:

<EXTRACTED_APP'S_DESCRIPTION>
$extracted_text
</EXTRACTED_APP'S_DESCRIPTION>

The output should include only a short term/phrase introducing the app.",Houghton College Official App,0.888888888888889,0.5714285714285715,0.4444444444444445
1,2,"Official App For Houghton College. Use this app to get involved, stay organized, access resources, and communicate with others on our campus.","Summarize the following extracted text from an app's description into a short term/phrase introducing the app. If the extracted text contains an official name/title or a purpose statement at the beginning, prioritize using it in the summary:

<EXTRACTED_APP'S_DESCRIPTION>
$extracted_text
</EXTRACTED_APP'S_DESCRIPTION>

The output should include only a short term/phrase introducing the app.",Official App for Houghton College,1.0,1.0,1.0
2,0,Bueno Y Sano is committed to providing the best food and drink experience in your own home. Order online here at Bueno Y Sano or order from our app.,"
Summarize the following extracted text from an app's description into a short term/phrase introducing the app:
<EXTRACTED_APP'S_DESCRIPTION>
$extracted_text
</EXTRACTED_APP'S_DESCRIPTION>
 
The output should include only a short term/phrase introducing the app.
","""Delicious Food Delivery at Home""",0.1111111111111111,0.0,0.1111111111111111,Bueno Y Sano is committed to providing the best food and drink experience in your own home. Order online here at Bueno Y Sano or order from our app.,Bueno Y Sano is committed to providing the best food and drink experience .
2,1,Bueno Y Sano is committed to providing the best food and drink experience in your own home. Order online here at Bueno Y Sano or order from our app.,"Summarize the following extracted text from an app's description into a short term/phrase. Prioritize using any existing name/title or purpose statement if present at the beginning of the text:

<EXTRACTED_APP'S_DESCRIPTION>
$extracted_text
</EXTRACTED_APP'S_DESCRIPTION>

The output should include only a short term/phrase introducing the app.",Bueno Y Sano: Your Best Food and Drink Experience at Home,0.6666666666666667,0.5454545454545454,0.6666666666666667
2,2,Bueno Y Sano is committed to providing the best food and drink experience in your own home. Order online here at Bueno Y Sano or order from our app.,"Summarize the following extracted text from an app's description into a short term/phrase. Prioritize using any existing name/title or purpose statement if present at the beginning of the text. Ensure the output closely aligns with the original phrasing of the purpose statement if included:

<EXTRACTED_APP'S_DESCRIPTION>
$extracted_text
</EXTRACTED_APP'S_DESCRIPTION>

The output should include only a short term/phrase introducing the app.",Bueno Y Sano: Best food and drink experience at home.,0.6956521739130435,0.5714285714285715,0.6956521739130435
2,3,Bueno Y Sano is committed to providing the best food and drink experience in your own home. Order online here at Bueno Y Sano or order from our app.,"Summarize the following extracted text from an app's description into a short term/phrase. Prioritize using any existing name/title or purpose statement if present at the beginning of the text. Ensure the output closely aligns with the original phrasing of the purpose statement if included, and maintain the focus on the app's commitment to providing a quality experience:

<EXTRACTED_APP'S_DESCRIPTION>
$extracted_text
</EXTRACTED_APP'S_DESCRIPTION>

The output should include only a short term/phrase introducing the app.",Bueno Y Sano: Committed to the best food and drink experience at home.,0.8461538461538461,0.6666666666666666,0.8461538461538461
3,0,"Employee can Login / Logout based on current location, manage leave, and fill their work log. Employees can also fill daily work logs, apply for leave, and approve work logs.","
Summarize the following extracted text from an app's description into a short term/phrase introducing the app:
<EXTRACTED_APP'S_DESCRIPTION>
$extracted_text
</EXTRACTED_APP'S_DESCRIPTION>
 
The output should include only a short term/phrase introducing the app.
",Employee Management and Time Tracking App,0.14285714285714288,0.0,0.14285714285714288,"Employee can Login / Logout based On Current Location , Manage leave and Fill their Work log.Employee can also Fill Daily Work log, Apply / Approve Leave and work log.",Employee can Login / Logout based On Current Location.
3,1,"Employee can Login / Logout based on current location, manage leave, and fill their work log. Employees can also fill daily work logs, apply for leave, and approve work logs.","Summarize the following extracted text from an app's description into a short term/phrase introducing the app. Prioritize using any existing name, title, feature description, or purpose statement/overview if it exists at the beginning of the extracted text:

<EXTRACTED_APP'S_DESCRIPTION>
$extracted_text
</EXTRACTED_APP'S_DESCRIPTION>

The output should include only a short term/phrase introducing the app.",Employee Management App,0.18181818181818182,0.0,0.18181818181818182
3,2,"Employee can Login / Logout based on current location, manage leave, and fill their work log. Employees can also fill daily work logs, apply for leave, and approve work logs.","Summarize the following extracted text from an app's description into a short term/phrase introducing the app. Prioritize using any existing name, title, feature description, or purpose statement/overview if it exists at the beginning of the extracted text. If an explicit feature description or purpose statement such as ""Employee can Login / Logout based on current location"" is present, prioritize using it as the description:

<EXTRACTED_APP'S_DESCRIPTION>
$extracted_text
</EXTRACTED_APP'S_DESCRIPTION>

The output should include only a short term/phrase introducing the app.",Employee Location-Based Login and Work Management App,0.5,0.0,0.25
3,3,"Employee can Login / Logout based on current location, manage leave, and fill their work log. Employees can also fill daily work logs, apply for leave, and approve work logs.","Summarize the following extracted text from an app's description into a short term/phrase introducing the app. Prioritize using any existing name, title, feature description, or purpose statement/overview if it exists at the beginning of the extracted text. If an explicit feature description or purpose statement such as ""Employee can Login / Logout based on current location"" is present, prioritize using it as the description. Ensure the description closely aligns with the opening feature or purpose statement provided:

<EXTRACTED_APP'S_DESCRIPTION>
$extracted_text
</EXTRACTED_APP'S_DESCRIPTION>

The output should include only a short term/phrase introducing the app.",Employee Location-Based Login and Work Management App,0.5,0.0,0.25
